sampleType,timestamp,distance,power,accelX,accelY,accelZ,boatAccelX,boatAccelY,boatAccelZ,gyroX,gyroY,gyroZ,latitude,longitude,speed,gpsHeading,gpsAltitude,gpsAccuracy,spm,strokeCount,driveTime,recoveryTime,driveRatio,catchDuration,gravityX,gravityY,gravityZ,detectorMode,detectorAboveThreshold,detectorForcedStroke,detectorResumingFromGap,detectorRejectionReason,detectorPeakProminence,detectorTimeAboveThresholdMs,detectorTimeSinceLastStrokeMs,detectorSmoothedMagnitude,detectorGravityAlpha,detectorGravityShiftG,detectorConfidence
sensor,1768475782761,2628.491477557233,0,-0.14572255313396454,0.8399351239204407,0.3558860719203949,-0.14572255313396454,0.8399351239204407,0.3558860719203949,0,0,0,10.0168318,9.9880551,2.4731792019876626,307,989.1,1.6660000085830688,,0,0.044,1.162,0.03648424543946932,0,-0.09422389629407543,0.896330914936861,0.40403495629713815,classic,0,0,0,none,0,0,0,2.059369712991206,-0.09422389629407543,0.09073608161342613,0
sensor,1768475784739,2633.3033238916987,0,-0.19670327007770538,0.8328991532325745,0.5260665416717529,-0.19670327007770538,0.8328991532325745,0.5260665416717529,0,0,0,10.0168568,9.9880192,2.4742311247532824,310,989.1,1.6829999685287476,,0,0.619,0.528,0.5396687009590235,0,-0.10022727334784007,0.8941974840422078,0.41534480581901323,classic,0,0,0,none,0,0,0,1.5781376765344535,-0.10022727334784007,0.15993611921183346,0
sensor,1768475786775,2638.730378906713,0,-0.03905003145337105,0.8665497899055481,0.46671900153160095,-0.03905003145337105,0.8665497899055481,0.46671900153160095,0,0,0,10.0168868,9.9879801,2.477687213993763,304,988.2,1.7000000476837158,,0,0.7,0.45500000000000007,0.606060606060606,0,-0.11383345341747378,0.8858454035492753,0.4312775198856639,classic,0,0,0,none,0,0,0,0.9446855999601289,-0.11383345341747378,0.085403363691031,0
sensor,1768475788731,2643.6386149555733,0,-0.13899242877960205,0.8267807960510254,0.5553425550460815,-0.13899242877960205,0.8267807960510254,0.5553425550460815,0,0,0,10.0169134,9.9879444,2.482177719837158,305,987.3000000000001,1.6829999685287476,,0,0.131,1.105,0.10598705501618123,0.059,-0.11735293976109665,0.8831857061178304,0.44121170572432183,classic,0,0,0,none,0,0,0,1.3804380083326526,-0.11735293976109665,0.12978307869479633,0
sensor,1768475790767,2649.151066938963,0,-0.21831615269184113,0.8209683895111084,0.6162196397781372,-0.21831615269184113,0.8209683895111084,0.6162196397781372,0,0,0,10.0169401,9.9879020,2.482204844888935,301,987.6,1.6829999685287476,,0,0.176,0.6390000000000001,0.21595092024539872,0.35,-0.12322567478923997,0.8821401779917136,0.4476852149763102,classic,0,0,0,none,0,0,0,1.545026308109729,-0.12322567478923997,0.2039682064777494,0
sensor,1768475792801,2654.0431702643673,0,0.10248147696256638,0.9988120198249817,0.3898426294326782,0.10248147696256638,0.9988120198249817,0.3898426294326782,0,0,0,10.0169684,9.9878678,2.481263935130341,305,987.7,1.6660000085830688,,0,0,1.139,0,0,-0.12503911460840325,0.883251341466501,0.4504974089033539,classic,0,0,0,none,0,0,0,2.9311974574682846,-0.12503911460840325,0.2636134968077548,0
sensor,1768475794733,2659.362724643684,0,-0.1489805430173874,0.8533036708831787,0.563801109790802,-0.1489805430173874,0.8533036708831787,0.563801109790802,0,0,0,10.0169968,9.9878287,2.481990575360086,303,987.8000000000001,1.649999976158142,,0,0.229,0.9349999999999999,0.19673539518900346,0,-0.13537841132782555,0.8776442996008527,0.4584632409492657,classic,0,0,0,none,0,0,0,1.1859253745570637,-0.13537841132782555,0.10951339097759955,0
sensor,1768475796747,2664.513737485909,0,-0.09391586482524872,1.030015468597412,0.6023463606834412,-0.09391586482524872,1.030015468597412,0.6023463606834412,0,0,0,10.0170201,9.9877880,2.4840622928481477,304,987.8000000000001,1.649999976158142,,0,0.641,0.29200000000000004,0.6870310825294748,0.232,-0.07771920478839943,0.8802041728915875,0.294469472977602,classic,0,0,0,none,0,0,0,2.910874338202128,-0.07771920478839943,0.34449636370106823,0
sensor,1768475798746,2669.4277361565355,0,-0.19904351234436035,0.8519729375839233,0.5601301193237305,-0.19904351234436035,0.8519729375839233,0.5601301193237305,0,0,0,10.0170418,9.9877489,2.488531418774305,302,987.5,1.649999976158142,,0,0.285,0.855,0.25,0,-0.08892581960355203,0.8789813588284232,0.3233267022178777,classic,0,0,0,none,0,0,0,2.3989069048925393,-0.08892581960355203,0.26386689095777355,0
sensor,1768475800752,2674.460493828042,0,-0.07575982064008713,0.8419848084449768,0.4982282519340515,-0.07575982064008713,0.8419848084449768,0.4982282519340515,0,0,0,10.0170701,9.9877131,2.4959601205157442,303,987.9,1.6660000085830688,,0,0.232,0.8979999999999999,0.20530973451327436,0,-0.10527177248328111,0.872863140600054,0.3533832287928946,classic,0,0,0,none,0,0,0,1.6613396965125555,-0.10527177248328111,0.15177046587960333,0
